Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
63,"[13,9]",5,18.637999999999987,10,B,10000,10600,PENT,12,3900,3333,0.3333,0.36792452830188677
63,"[13,9]",5,18.637999999999987,10,B,10000,10600,PENT,13,300,266,0.0266,0.02830188679245283
64,"[13,9]",5,18.936999999999987,10,B,10000,10900,PENT,9,400,468,0.0468,0.03669724770642202
64,"[13,9]",5,18.936999999999987,10,B,10000,10900,PENT,10,2200,2297,0.2297,0.2018348623853211
64,"[13,9]",5,18.936999999999987,10,B,10000,10900,PENT,11,2400,2265,0.2265,0.22018348623853212
64,"[13,9]",5,18.936999999999987,10,B,10000,10900,PENT,12,4600,3899,0.3899,0.42201834862385323
64,"[13,9]",5,18.936999999999987,10,B,10000,10900,PENT,13,1300,1071,0.1071,0.11926605504587157
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,9,200,241,0.0241,0.017543859649122806
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,10,1700,1740,0.174,0.14912280701754385
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,11,2000,1844,0.1844,0.17543859649122806
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,12,4500,3825,0.3825,0.39473684210526316
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,13,2900,2258,0.2258,0.2543859649122807
65,"[14,9]",6,19.235999999999986,10,B,10000,11400,SEXO,14,100,92,0.0092,0.008771929824561403
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,9,0,97,0.0097,0
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,10,1000,1098,0.1098,0.08620689655172414
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,11,1900,1788,0.1788,0.16379310344827586
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,12,4100,3443,0.3443,0.35344827586206895
66,"[14,9]",6,19.534999999999986,10,B,10000,11600,SEXO,13,3900,3061,0.3061,0.33620689655172414
